"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/chatGpt_ATM.java","3","4","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/chatGpt_ATM.java","3","6","Avoid unused private fields such as 'holderName'.","Best Practices","UnusedPrivateField"
"3","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/chatGpt_ATM.java","3","177","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"4","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/chatGpt_ATM.java","1","177","The class name 'chatGpt_ATM' doesn't match '[A-Z][a-zA-Z0-9]*'","Code Style","ClassNamingConventions"
"1","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/claude_ATM.java","3","6","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/claude_ATM.java","3","33","Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"3","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/claude_ATM.java","3","85","Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"4","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/claude_ATM.java","3","92","Avoid using implementation types like 'HashMap'; use the interface instead","Best Practices","LooseCoupling"
"5","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/claude_ATM.java","3","291","Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"6","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/claude_ATM.java","3","315","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"7","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/claude_ATM.java","1","315","The class name 'claude_ATM' doesn't match '[A-Z][a-zA-Z0-9]*'","Code Style","ClassNamingConventions"
"1","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/deepseek_ATM.java","3","12","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/deepseek_ATM.java","1","121","The class name 'deepseek_ATM' doesn't match '[A-Z][a-zA-Z0-9]*'","Code Style","ClassNamingConventions"
"3","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/deepseek_ATM.java","3","155","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"4","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/deepseek_ATM.java","3","156","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"5","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/deepseek_ATM.java","1","172","The final local variable name 'MAX_ATTEMPTS' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"1","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/gemini_ATM.java","3","8","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/gemini_ATM.java","3","33","Avoid unused private fields such as 'accountHolderName'.","Best Practices","UnusedPrivateField"
"3","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/gemini_ATM.java","1","88","The class name 'gemini_ATM' doesn't match '[A-Z][a-zA-Z0-9]*'","Code Style","ClassNamingConventions"
"4","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/gemini_ATM.java","1","119","The final local variable name 'MAX_ATTEMPTS' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"1","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/qwen_ATM.java","3","6","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/qwen_ATM.java","3","6","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/qwen_ATM.java","1","6","The class name 'qwen_ATM' doesn't match '[A-Z][a-zA-Z0-9]*'","Code Style","ClassNamingConventions"
"4","","/Users/amansingh/Documents/MCA II/SE/project/javaparser-test/untitled/src/qwen_ATM.java","1","174","The final local variable name 'MAX_ATTEMPTS' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
